id,name,longitude,latitude,transport_type,zone,mode_label,geom_wkt
68,DDD_Arrêt_14,-17.470287089,14.705652613,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.470287089 14.705652613)
69,DDD_Arrêt_15,-17.480651898,14.708386765,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.480651898 14.708386765)
70,DDD_Arrêt_16,-17.470852443,14.722603801,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.470852443 14.722603801)
71,DDD_Arrêt_17,-17.456341717,14.71786489,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.456341717 14.71786489)
72,DDD_Arrêt_18,-17.44088873,14.714037234,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.44088873 14.714037234)
73,DDD_Arrêt_19,-17.433350687,14.721327949,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.433350687 14.721327949)
74,DDD_Arrêt_20,-17.450311283,14.728071643,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.450311283 14.728071643)
75,DDD_Arrêt_21,-17.448992126,14.720416623,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.448992126 14.720416623)
76,DDD_Arrêt_22,-17.463125956,14.736273152,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.463125956 14.736273152)
77,DDD_Arrêt_23,-17.512500135,14.74374537,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.512500135 14.74374537)
78,DDD_Arrêt_24,-17.490639812,14.747936989,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.490639812 14.747936989)
79,DDD_Arrêt_25,-17.470475547,14.741376158,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.470475547 14.741376158)
80,DDD_Arrêt_26,-17.462372152,14.747572504,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.462372152 14.747572504)
81,DDD_Arrêt_27,-17.452007343,14.759782433,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.452007343 14.759782433)
82,DDD_Arrêt_28,-17.447484517,14.739735919,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.447484517 14.739735919)
83,DDD_Arrêt_29,-17.507600408,14.73864242,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.507600408 14.73864242)
84,DDD_Arrêt_30,-17.491016714,14.72552,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.491016714 14.72552)
85,DDD_Arrêt_31,-17.489886007,14.716771281,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.489886007 14.716771281)
86,DDD_Arrêt_32,-17.500627718,14.726431304,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.500627718 14.726431304)
87,DDD_Arrêt_33,-17.445034653,14.750123889,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.445034653 14.750123889)
88,DDD_Arrêt_34,-17.437496611,14.753221959,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.437496611 14.753221959)
89,DDD_Arrêt_35,-17.442019436,14.758324567,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.442019436 14.758324567)
90,DDD_Arrêt_36,-17.437496611,14.762880366,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.437496611 14.762880366)
91,DDD_Arrêt_37,-17.431843079,14.759782433,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.431843079 14.759782433)
92,DDD_Arrêt_38,-17.428450959,14.767253844,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.428450959 14.767253844)
93,DDD_Arrêt_39,-17.436177453,14.737548915,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.436177453 14.737548915)
94,DDD_Arrêt_40,-17.429770117,14.734632875,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.429770117 14.734632875)
95,DDD_Arrêt_41,-17.427697155,14.72971197,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.427697155 14.72971197)
96,DDD_Arrêt_42,-17.422608976,14.733721605,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.422608976 14.733721605)
97,DDD_Arrêt_43,-17.424305036,14.741740654,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.424305036 14.741740654)
98,DDD_Arrêt_44,-17.413940227,14.73700216,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.413940227 14.73700216)
99,DDD_Arrêt_45,-17.423362781,14.759235735,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.423362781 14.759235735)
100,DDD_Arrêt_46,-17.459922288,14.730258743,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.459922288 14.730258743)
101,DDD_Arrêt_47,-17.465387369,14.720598888,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.465387369 14.720598888)
102,DDD_Arrêt_48,-17.408846357,14.743384553,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.408846357 14.743384553)
103,DDD_Arrêt_49,-17.41996497,14.767439745,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.41996497 14.767439745)
104,DDD_Arrêt_50,-17.412238476,14.768168649,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.412238476 14.768168649)
105,DDD_Arrêt_51,-17.411296221,14.777461956,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.411296221 14.777461956)
106,DDD_Arrêt_52,-17.407338748,14.771630908,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.407338748 14.771630908)
107,DDD_Arrêt_53,-17.400366059,14.77181313,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.400366059 14.77181313)
108,DDD_Arrêt_54,-17.398104646,14.779830775,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.398104646 14.779830775)
109,DDD_Arrêt_55,-17.392262663,14.784932758,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.392262663 14.784932758)
110,DDD_Arrêt_56,-17.390189701,14.780377422,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.390189701 14.780377422)
111,DDD_Arrêt_57,-17.384347718,14.778555261,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.384347718 14.778555261)
112,DDD_Arrêt_58,-17.378882637,14.776915302,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.378882637 14.776915302)
113,DDD_Arrêt_59,-17.376055871,14.786208236,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.376055871 14.786208236)
114,DDD_Arrêt_60,-17.37059079,14.779466343,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.37059079 14.779466343)
115,DDD_Arrêt_61,-17.403758178,14.752496681,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.403758178 14.752496681)
116,DDD_Arrêt_62,-17.399423803,14.761243965,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.399423803 14.761243965)
117,DDD_Arrêt_63,-17.389624348,14.765617475,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.389624348 14.765617475)
118,DDD_Arrêt_64,-17.392262663,14.754319061,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.392262663 14.754319061)
119,DDD_Arrêt_65,-17.382274756,14.761426196,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.382274756 14.761426196)
120,DDD_Arrêt_66,-17.373417556,14.769990897,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.373417556 14.769990897)
121,DDD_Arrêt_67,-17.381897854,14.755048008,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.381897854 14.755048008)
122,DDD_Arrêt_68,-17.377375028,14.750127564,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.377375028 14.750127564)
123,DDD_Arrêt_69,-17.375490518,14.744842519,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.375490518 14.744842519)
124,DDD_Arrêt_70,-17.357399215,14.74702945,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.357399215 14.74702945)
125,DDD_Arrêt_71,-17.363618101,14.755594718,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.363618101 14.755594718)
126,DDD_Arrêt_72,-17.367952475,14.763066272,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.367952475 14.763066272)
127,DDD_Arrêt_73,-17.360979786,14.772177575,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.360979786 14.772177575)
128,DDD_Arrêt_74,-17.323873807,14.782181391,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.323873807 14.782181391)
129,DDD_Arrêt_75,-17.338007637,14.779630382,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.338007637 14.779630382)
130,DDD_Arrêt_76,-17.337819186,14.769243821,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.337819186 14.769243821)
131,DDD_Arrêt_77,-17.335557773,14.793478356,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.335557773 14.793478356)
132,DDD_Arrêt_78,-17.340457501,14.789834238,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.340457501 14.789834238)
133,DDD_Arrêt_79,-17.327831279,14.791109686,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.327831279 14.791109686)
134,DDD_Arrêt_80,-17.321235492,14.777625997,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.321235492 14.777625997)
135,DDD_Arrêt_81,-17.316524215,14.773070507,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.316524215 14.773070507)
136,DDD_Arrêt_82,-17.330658045,14.771066061,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.330658045 14.771066061)
